OBJECTID,Borough,Unique_Asset_ID,Unique_Asset_ID_X,Unique_Asset_ID_Y,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied,Land_Building,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Site_Area_Hectares_1,Easting,Northing
87,Croydon,10/HS600600,,,"Cane Hill, Coulsdon, South Croydon","Cane Hill, Coulsdon, South Croydon",CR5 3YL,Cane Hill Hospital,N/A,Residential development site. GLA working with with Barratt Homes,Yes - part only,Land only,Subject to disposal process,FH,82.36,0,,529219,158671
88,Newham,08/007,7,8,"UEL Phases 1,2 & 3","Docklands Campus, University Way, London",E16 2RD,,N/A,Reversonary interest in educational facility,No,Land & buildings,Saleable asset,FH,10.02,0,,543471,180747
89,Southwark,10/00000566,,,London Park Hotel,"86-88 Newington Butts, London",SE11 4QU,86-88 Newington Butts,N/A,Major residential development site in Elephant and Castle. GLA is working with Mace,Yes,Land only,Subject to disposal process,FH,0.43,0,,531799,178793
90,Southwark,10/00000567,,,Off Churchyard Road,"Off Churchyard Road, Newington Butts",SE11 4QU,Supplementary Land At Newington,N/A,Major residential development site in Elephant and Castle. GLA is working with Mace,Yes,Land only,Subject to disposal process,LLH,0.06,0,,531807,178791
91,Tower Hamlets,10/00003073,,,St Matthias Centre,"Bullivant Street, London",E14 0ER,St Matthias Centre,N/A,Residential development site. GLA working with Swan Housing Association,No,Land & buildings,Subject to disposal process,LLH,0.41,0,,538196,180964
92,Tower Hamlets,10/00003145,,,Naval Row,"Prestage Works, Prestage Way, London",E14 4QE,"304-314,318-320 Poplar High St",N/A,Residential development site. GLA working with Swan Housing Association,Yes,Land & buildings,Subject to disposal process,FH,1.1,0,,538439,180744
93,Tower Hamlets,10/00003675,,,(M476 Part) 7 Ditchburn Street,"Ditchburn Street, London",E14 9QE,Land At Ditchburn Street,N/A,Residential development site. GLA working with Swan Housing Association,Yes,Land only,Subject to disposal process,FH,0.38,0,,538373,180690
94,Newham,10/00003197,,,3 & 4 Liverpool Road,"Manor Road Industrial Estate, Manor Road",E16 4PA,Manor Road Retail Park,N/A,Future development site,Yes,Land & buildings,Subject to disposal process,FH,1.92,0,,539318,181663
95,Newham,04/034,34,4,"Carlsberg Tetley Site,  Canning Town","Silvertown Industrial Park, Dock Road, North Woolwich Road, Silvertown, London",E16 2AB,,N/A,Major regeneration site adjacent to Thames Wharf and Dock Road. Currently industrial investment. Jointly owned with Quintain,Yes,Land & buildings,Subject to disposal process,FH,5.77,0,,539946,180336
96,Newham,08/014/0002,,,Pontoon Dock,"Barrier Point Road, London",E16 2HP,,N/A,"Existing car park for Thames Barrier Park. GLA working with Bouygues Development for housing scheme, under construction.",Yes,,Subject to disposal process,FH,0.69,0,,541311,180086
97,Newham,04/033/0001,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Infrastructure,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,3.22,0,,539596,180796
98,Newham,04/033/0002,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 2,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,1.36,0,,539846,180590
99,Newham,04/033/0003,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 3,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.37,0,,539701,180580
100,Newham,04/033/0004,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 4,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.37,0,,539735,180529
101,Newham,04/033/0005,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 5,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.46,0,,539819,180464
102,Newham,04/033/0006,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 6 - Vacant Plot,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,0.83,0,,539720,180749
103,Newham,04/033/0007,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 7,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,FH,0.34,0,,539861,180668
104,Newham,04/033/0008,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 8,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land & buildings,Subject to disposal process,LLH,0.06,0,,539901,180612
105,Newham,04/033/0009,,,"Thames Wharf and Dock Road, Canning Town","Dock Road, Canning Town, London",E16 1AF,Plot 9,N/A,Major regeneration site impacted by proposed Silvertown Tunnel. Currently industrial investment.,Yes,Land only,Subject to disposal process,FH,0.48,0,,539601,180665
106,Newham,08/001,1,8,Royal Docks Waterways,,E16 2QU,,N/A,Dockbed and water in the Royal Docks. Water let to RoDMA,No,Land only,Limited marketability,FH,96.64,0,,542249,180639
107,Newham,08/005/0005,,,Royals Business Park,"Royal Albert Way, London",E16 2QT,Hotel Site (Plot 1),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,No,Land only,Subject to disposal process,FH,0.79,0,,541727,180815
108,Newham,08/005/0006,,,Royals Business Park,"Royal Albert Way, London",E16 2QT,Hotel Site (Plot 2),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,Yes,Land & buildings,Subject to disposal process,FH,0.49,0,,541811,180834
109,Newham,08/005/0007,,,Royals Business Park,"Royal Albert Way, London",E16 2QD,Hotel Site (Plot 3),N/A,Major commercial regeneration site. Part developed. Reversionary interest.,Yes,Land & buildings,Subject to disposal process,FH,0.59,0,,541885,180833
110,Newham,08/006,6,8,Regatta Centre,"Dockside Road, London",E16 2QT,,N/A,Reversionary interest in charitable/sporting facility.,Yes,Land & buildings,Limited marketability,FH,1.58,0,,541811,180747
111,Newham,08/010,10,8,Charles Street,"North Woolwich Road, London",E16 2BY,,N/A,Major commercial regeneration scheme. Part of Silvertown Quays. GLA working with the Silvertown Partnership.,Yes - part only,Land & buildings,Subject to disposal process,FH,4.89,0,,541501,180241
112,Newham,08/016,16,8,Silvertown Quays,"Connaught Bridge, North Woolwich Road, London",E16 2BY,,N/A,Major commercial regeneration scheme. GLA working with the Silvertown Partnership.,No,Land & buildings,Subject to disposal process,FH,16.24,0,,541269,180241
113,Newham,08/017,17,8,Thames Barrier Park East,"Barrier Point Road, London",E16 2HP,,N/A,Residential development. Development Agreement in place with Barratt Homes. Complete,Yes,Land & buildings,Subject to disposal process,FH,2.43,0,,541446,180079
114,Newham,08/045,45,8,"Floating Village, Royal Docks Waterway",,E161AB,,N/A,Project is on hold until further notice.,No,Land only,Limited marketability,FH,5,0,,540419,180605
115,Havering,03/001,1,3,1-3 Salamons Way,"1-3 Salamons Way, Dagenham",RM13 9UL,,N/A,"Industrial buildings and yard. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land & buildings,Subject to disposal process,FH,0.5,2280,,551369,181389
116,Havering,03/005,5,3,Beam Reach 6,"Courier Way, Courier Road, Rainham, Essex",RM13 8UH,,N/A,"Major regeneration site. Undeveloped. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,9.36,0,,550444,182115
117,Havering,03/008/0006,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 6,N/A,"Major regeneration site. Part developed Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.88,0,,550731,182494
118,Havering,03/008/0007,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 7,N/A,Major regeneration site. Part developed. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,1.29,0,,550744,182635
119,Havering,03/008/0008,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 8,N/A,"Major regeneration site. Part developed. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.68,0,,550858,182603
120,Havering,03/008/0010,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plots 10-11,N/A,"Major regeneration site. Part developed. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,3.85,0,,551056,182278
121,Havering,03/008/0012,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Plot 12,N/A,"Major regeneration site. Part developed. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,2.53,0,,551199,182454
122,Havering,03/008/0013,,,Beam Reach 5,"Consul Avenue, Rainham, Essex",RM13 8GT,Infrastructure,N/A,Major regeneration site. Part developed,No,Land only,Limited marketability,FH,8.56,0,,551005,182524
123,Havering,03/012/0005,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 5,N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land only,Saleable asset,FH,0.51,0,,551485,180441
124,Havering,03/012/0013,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 13 (previously part of Plot 2),N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Saleable asset,FH,0.6,0,,551496,180657
125,Havering,03/013,13,3,Workspace,"Workspace, Rainham, Essex",RM13 9YH,,N/A,"Currently open storage. Development site. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land & buildings,Subject to disposal process,FH,0.98,0,,551274,181343
126,Greenwich,10/00003111,,,Tunnel Avenue,"Tunnel Avenue Trading Estate, Tunnel Avenue",SE10 0QE,Tunnel Avenue Trading Estate,N/A,Major regeneration scheme (Greenwich Peninsula). GLA working with Knight Dragon,Yes,Land & buildings,Investment ,FH,1.54,0,,538853,179693
127,Havering,03/010,10,3,Marsh View Industrial Estate,"Marsh View Industrial Estate, Ferry Lane, Rainham",RM13 9BJ,,N/A,"Currently open storage. Development site. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,2.44,0,,551186,181156
128,Havering,03/012/0001,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 1,N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Saleable asset,FH,2.64,0,,551432,180751
129,Havering,03/012/0004,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 4,N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,0.56,0,,551441,180525
130,Havering,03/012/0008,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 8,N/A,"Major industrial development. Mainly developed out. Development site forming part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,0.18,0,,551352,180876
131,Havering,03/012/0009,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Infrastructure,N/A,Major industrial development. Mainly developed out.,No,Land only,Limited marketability,FH,4.58,0,,551443,180614
132,Havering,03/012/0010,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 10 (previously Plots 6&7),N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,2.06,0,,551600,180529
133,Havering,03/012/0011,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 11 (previously Plot 3& part of Plot 2),N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,1.38,0,,551524,180595
134,Havering,03/012/0012,,,Beam Reach 8,"Ferry Lane, Rainham, Essex",RM13 9YE,Plot 12 (previously part of Plot 2),N/A,Major industrial development. Mainly developed out. Reversionary interest in industrial property.,No,Land & buildings,Subject to disposal process,FH,0.55,0,,551416,180612
135,Havering,09/014,14,9,Lamson Road,"Units 1-5 Lamson Road, Rainham, Essex",RM13 9YY,,N/A,Reversionary interest in industrial premises.,No,Land & buildings,Subject to disposal process,FH,0.76,3595,,552012,182002
136,Barking and Dagenham,03/002/0002,,,Chequers Corner,"New Road, Dagenham, Essex",RM9 6LA,Land Strip 1,N/A,Residual sections of road,No,Land only,Limited marketability,FH,0.03,0,,549100,183472
137,Barking and Dagenham,03/002/0003,,,Chequers Corner,"New Road, Dagenham, Essex",RM9 6LA,Land Strip 2,N/A,Residual sections of road,No,Land only,Limited marketability,FH,0.03,0,,549256,183486
138,Barking and Dagenham,03/003/0001,,,Beam Park,"Thames Avenue, New Road, Dagenham, Essex",RM9 6DE,Plot 1,N/A,Major regeneration site. Undeveloped. GLA are working with Countryside Properties (UK) Ltd and London & Quadrant Housing Trust,Yes,Land only,Subject to disposal process,FH,18.18,0,,549830,183012
139,Havering,03/003/0002,,,Beam Park,"Thames Avenue, New Road, Dagenham, Essex",RM9 6DE,Plot 2,N/A,Major regeneration site. Undeveloped. GLA are working with Countryside Properties (UK) Ltd and London & Quadrant Housing Trust,Yes,Land only,Subject to disposal process,FH,9.52,0,,550371,182889
140,Havering,03/003/0003,,,Beam Park,"Thames Avenue, New Road, Dagenham, Essex",RM9 6DE,Plot 3,N/A,Major regeneration site. Undeveloped. GLA are working with Countryside Properties (UK) Ltd and London & Quadrant Housing Trust,Yes,Land only,Subject to disposal process,FH,1.64,0,,550669,182819
141,Newham,08/011/0001,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Thames House,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land & buildings,Subject to disposal process,FH,1.88,0,,544202,180402
142,Newham,08/011/0002,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 2,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,0.88,0,,544097,180308
143,Newham,08/011/0003,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 3,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,1.2,0,,543981,180296
144,Newham,08/011/0004,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 4,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,0.58,0,,543864,180327
145,Newham,08/011/0005,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 5,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,0.85,0,,543784,180458
146,Newham,08/011/0006,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 6,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,0.71,0,,543686,180490
147,Newham,08/011/0007,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Plot 7,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land only,Subject to disposal process,FH,1.1,0,,543912,180393
148,Newham,08/011/0008,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Marina,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land & buildings,Subject to disposal process,FH,1.41,0,,544088,180441
149,Newham,08/011/0009,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,RODMA controlled land,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,Yes,Land & buildings,Subject to disposal process,FH,1.15,0,,543941,180246
150,Newham,08/011/0010,,,Albert Island,"Woolwich Manor Way, London",E16 2QY,Road Infrastructure,N/A,Major commercial regeneration scheme. Short term lets in place. Development partner in contract and planning in preparation.,No,Land only,Subject to disposal process,FH,0.73,0,,543923,180314
151,Barking and Dagenham,09/008,8,9,Polar Ford site,"New Road, Dagenham, Essex",RM9 6EX,,N/A,Development site,No,Land only,Subject to disposal process,FH,1.31,0,,549328,183432
152,Newham,09/004,4,9,Jenkins Lane,"Jenkins Lane, Beckton",IG11 7BW,,N/A,"Development site. Forms part of East Plus, a partnership between the GLA and Segro.",No,Land only,Subject to disposal process,FH,5.71,0,,544052,182986
153,Tower Hamlets,10/00000287,,,Branch Road,"off Horseferry Road, London",E14 7JL,Land At Branch Road,N/A,Development site,No,Land only,Subject to disposal process,FH,0.2,0,,536135,180944
154,Southwark,04/050,50,4,City Hall,"The Queens Walk, London",SE1 2AA,,N/A,GLA administration building,Yes,Land & buildings,Operational asset,LLH,0.55,11988,,533427,180186
155,Havering,03/016/0001,,,CEME Estate,"Marsh Way, Rainham, Essex",RM13 8EU,CEME building,N/A,Educational facility with additional development plot and vacant nursery. Reversionary interest.,No,Land & buildings,Limited marketability,LLH,6.69,0,,550736,182196
156,Havering,03/016/0002,,,CEME Estate,"Marsh Way, Rainham, Essex",RM13 8EU,Nursery Building,N/A,Educational facility with additional development plot and vacant nursery. Reversionary interest.,No,Land & buildings,Limited marketability,LLH,0.06,712,,550855,182092
157,Havering,03/016/0003,,,CEME Estate,"Marsh Way, Rainham, Essex",RM13 8EU,Plot 1,N/A,Educational facility with additional development plot and vacant nursery,No,Land only,Subject to disposal process,LLH,0.1,0,,550621,182081
158,Havering,03/016/0004,,,CEME Estate,"Marsh Way, Rainham, Essex",RM13 8EU,Plot 2 (hotel site),N/A,Educational facility with additional development plot and vacant nursery,No,Land only,Subject to disposal process,LLH,0.3,0,,550897,182058
159,Greenwich,04/028/0001,,,White Hart Triangle,"White Hart Avenue, Thamesmead, London",SE28 0GU,Plot C,N/A,Major industrial development site. Part developed. Joint Venture in place with Tilfen Land,No,Land only,Subject to disposal process,FH,0.6,0,,545875,179288
160,Greenwich,04/028/0003,,,White Hart Triangle,"White Hart Avenue, Thamesmead, London",SE28 0GU,Plot E,N/A,Major industrial development site. Part developed. Joint Venture in place with Tilfen Land,No,Land only,Subject to disposal process,FH,3.39,0,,545643,179112
161,Greenwich,04/028/0006,,,White Hart Triangle,"White Hart Avenue, Thamesmead, London",SE28 0GU,Infrastructure,N/A,Major industrial development site. Part developed. Joint Venture in place with Tilfen Land,No,Land only,Limited marketability,FH,0.56,0,,545753,179130
162,Greenwich,10/00000550,,,Greenwich,Greenwich Peninsula,SE10 0JF,Greenwich Peninsula,N/A,Major regeneration scheme. GLA working with Knight Dragon,No,Land & buildings,Limited marketability,FH,99.76,0,,539607,179406
