OBJECTID,Borough,Unique_Asset_ID,Holding_Name,Address,Post_Code,Sub_Unit,UPRN,Description,Occupied_by_MPS,Land_Buildings,Asset_Category,Tenure,Site_Area_Hectares,Building_Area_GIA_sqm,Building_Area_NIA_sqm,Easting,Northing,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Occupied_by,Built_out
201,Lewisham,524,AITKEN ROAD 34 SEATU,SOUTH EASTERN AREA TU & W/SHOP 34 AITKEN ROAD . CATFORD,SE6 3BG,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,0.79,7736,0,537600,172767,,,,,,,,,,,
202,Lewisham,162,CATFORD HILL 128,128 CATFORD HILL . . CATFORD,SE6 4PS,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.13,654,519,536888,173038,,,,,,,,,,,
203,Lewisham,506,CATFORD POLICE STATION,CATFORD POLICE STATION 333 BROMLEY ROAD . CATFORD,SE6 2RJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.32,2984,0,538400,172056,,,,,,,,,,,
204,Lewisham,911,DEPTFORD POLICE STATION,DEPTFORD POLICE STATION 118-124 AMERSHAM VALE . NEW CROSS,SE14 6LG,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,,592,0,536767,177446,,,,,,,,,,,
205,Lewisham,148,FOREST HILL WIRELESS STATION,FOREST HILL WIRELESS STATION HORNIMAN DRIVE . .,SE23 XXX,,,WIRELESS STN,Yes,Land & buildings ,Operational asset,FH,0.38,300,0,535060,173451,,,,,,,,,,,
206,Lewisham,526,LEWISHAM POLICE STATION,33-63 HIGH STREET LEWISHAM . . LEWISHAM,SE13 5JZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,,15271,0,538338,175732,,,,,,,,,,,
207,Merton,6689,ABERCONWAY ROAD 35 UNIT 2B,UNIT 2B 35 ABERCONWAY ROAD . MORDEN,SM4 5LN,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,210,0,525746,168476,,,,,,,,,,,
208,Merton,6608,ALLIANCE HOUSE GROUND FLOOR,ALLIANCE HOUSE GROUND FLOOR PRINCE GEORGES AVENUE RAYNES PARK,SW20 8BH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,153,0,523452,169280,,,,,,,,,,,
209,Merton,160,CAXTON ROAD 22-24,CAXTON ROAD DEPOT 22-24 CAXTON ROAD . WIMBLEDON,SW19 8SJ,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.16,601,0,523528,180028,,,,,,,,,,,
210,Merton,990,CIVIC CENTRE MERTON 12TH FLOOR,CIVIC CENTRE LONDON ROAD MORDEN,SM4 5DX,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,,525577,168474,,,,,,,,,,,
211,Merton,702,DEER PARK ROAD 15,5 AREA OPS OCU 15 DEER PARK ROAD . MERTON,SW19 3YX,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,FH,0.29,2227,0,526233,169264,,,,,,,,,,,
212,Merton,945,DEER PARK ROAD 25,25 DEER PARK ROAD . . MERTON,SW19 3TU,,,WAREHOUSE,Yes,Land & buildings ,Operational asset,FH,0.55,700,0,526132,169137,,,,,,,,,,,
213,Merton,692,MITCHAM POLICE STATION,MITCHAM POLICE STATION 58 CRICKET GREEN . MITCHAM,CR4 4LA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.21,1274,0,527666,168649,,,,,,,,,,,
214,Merton,688,MORDEN POLICE OFFICE 3 CROWN PARADE,MORDEN POLICE OFFICE 3 CROWN PARADE . MORDEN,SM4 5DA,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,77,0,525551,168491,,,,,,,,,,,
215,Merton,675,MORDEN POLICE OFFICE 4 CROWN PARADE,MORDEN POLICE OFFICE 4 CROWN PARADE . MORDEN,SM4 5DA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LH,,79,0,525545,168492,,,,,,,,,,,
216,Merton,6630,ONE O'CLOCK CLUB,ONE O'CLOCK CLUB WIMBLEDON PARK HOME PARK ROAD .,SW19 7HP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,150,0,525011,172234,,,,,,,,,,,
217,Merton,6570,SOUTH LODGE AVENUE 70,70 SOUTH LODGE AVENUE . . MITCHAM,CR4 1LW,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,65,0,530077,168373,,,,,,,,,,,
218,Merton,698,TOOTING POLICE STATION & FORMER SECTION HOUSE,TOOTING POLICE STATION 251 MITCHAM ROAD . TOOTING,SW17 9JQ,,,POLICE STATION,Yes,Land & buildings ,Subject to disposal process,FH,0.34,6534,0,528029,170777,,,,,,,,,,,
219,Merton,672,WIMBLEDON POLICE STATION,WIMBLEDON POLICE STATION 15-23 QUEENS ROAD . WIMBLEDON,SW19 8NN,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.34,3169,0,524988,170635,,,,,,,,,,,
220,Newham,6695,BARKING ROAD 522 GROUND FLOOR & BASEMENT,522 BARKING ROAD . . PLAISTOW,E13 8QE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,540827,182657,,,,,,,,,,,
221,Newham,6697,BECKTON DISTRICT CENTRE UNIT 7,UNIT 7 THE BECKTON DISTRICT CENTRE TOLLGATE ROAD BECKTON,E6 4JP,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,132,0,542881,181558,,,,,,,,,,,
222,Newham,918,CAM ROAD 1 STRATFORD,1 CAM ROAD . . STRATFORD,E15 2SY,,,OFFICE,Yes,Land & buildings ,Operational asset,LLH,,3056,2803,538798,183853,,,,,,,,,,,
223,Newham,375,CARPENTERS ROAD POLICE OFFICE,CARPENTERS ROAD POLICE OFFICE 22 DORAN WALK CARPENTERS ROAD .,E15 2JL,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,57,0,538487,184022,,,,,,,,,,,
224,Newham,6500,"EXCEL CENTRE CITY SIDE ROOMS 20, 21 & 22 ","CITY SIDE ROOMS 20, 21 & 22 LONDON INTERNATIONAL EXHIBITION CENTRE ROYAL VICTORIA DOCK (NORTH) .",E16 1XL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,100,0,533374,180779,,,,,,,,,,,
225,Newham,421,FOREST GATE POLICE STATION,FOREST GATE POLICE STATION 350-360 ROMFORD ROAD . FOREST GATE,E7 8BS,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.28,3747,0,540912,185047,,,,,,,,,,,
226,Newham,5501,LONDON CITY AIRPORT,LONDON CITY AIRPORT TERMINAL BUILDING . . SILVERTOWN,E16 2PX,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,73,0,541918,180458,,,,,,,,,,,
227,Newham,424,NORTH WOOLWICH POLICE STATION,NORTH WOOLWICH POLICE STATION ALBERT ROAD PIER ROAD (FRONTAGE) NORTH WOOLWICH,E16 2JJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.16,685,0,543337,179901,,,,,,,,,,,
228,Newham,6574,PARKHURST ROAD 269,SITE ADJOINING 269 PARKHURST ROAD . MANOR PARK,E12 5QU,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,170,0,542448,185527,,,,,,,,,,,
229,Newham,426,PLAISTOW POLICE STATION,PLAISTOW POLICE STATION 444-448 BARKING ROAD . PLAISTOW,E13 8HJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.31,2622,0,540586,182407,,,,,,,,,,,
230,Newham,429,STRATFORD POLICE STATION,STRATFORD POLICE STATION 18 WEST HAM LANE . STRATFORD,E15 4SG,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.11,1955,0,539073,184151,,,,,,,,,,,
231,Newham,6566,WEST HAM FOOTBALL CLUB GROUND FLR PART,WEST HAM FOOTBALL CLUB ROOM BENEATH STAND CUSTODY SUITE BOLEYN GROUND GREEN STREET UPTON PARK,E13 9AZ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,42,0,541481,183390,,,,,,,,,,,
232,Newham,971,WESTFIELD STRATFORD CITY LOWER GRND FLOOR,WESTFIELD STRATFORD CITY SHOPPING CENTRE LOWER GROUND FLOOR . STRATFORD,E20,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,538484,184474,,,,,,,,,,,
233,Redbridge,380,BARKINGSIDE POLICE STATION,BARKINGSIDE POLICE STATION 1 HIGH STREET BARKINGSIDE ILFORD,IG6 1QB,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.31,3267,0,544225,189759,,,,,,,,,,,
234,Redbridge,411,CHADWELL HEATH TRAFFIC GARAGE,NORTH EASTERN AREA TU & W/SHPS 11 GROVE ROAD CHADWELL HEATH ROMFORD,RM6 4AG,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,0.91,5635,4546,546915,187687,,,,,,,,,,,
235,Redbridge,6624,FENCEPIECE ROAD 127,127 FENCEPIECE ROAD . HAINAULT ILFORD,IG6 2LD,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,121,0,544418,191332,,,,,,,,,,,
236,Redbridge,419,ILFORD POLICE STATION (NEW),ILFORD POLICE STATION 270-294 HIGH ROAD . ILFORD,IG1 1GT,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.42,4478,0,544309,186646,,,,,,,,,,,
237,Redbridge,406,WOODFORD POLICE STATION,WOODFORD POLICE STATION 509 HIGH ROAD . WOODFORD GREEN,IG8 0SR,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.23,1371,0,540145,192281,,,,,,,,,,,
238,Richmond,6558,ASHBURNHAM ROAD 14,14 ASHBURNHAM ROAD . . RICHMOND,TW10 7NF,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,64,0,517298,172360,,,,,,,,,,,
239,Richmond,6514,CENTRE HOUSE GROUND FLOOR PART,(PART) GROUND FLOOR CENTRE HOUSE 68 SHEEN LANE .,SW14 8PL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,72,0,520460,175521,,,,,,,,,,,
240,Richmond,6731,LOWTHER PRIMARY SCHOOL PART,LOWTHER PRIMARY SCHOOL STILLINGFLEET ROAD . BARNES,SW13 9AE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,120,0,522323,177523,,,,,,,,,,,
241,Richmond,905,RICHMOND PARK POLICE OFFICE,HOLLY LODGE RICHMOND PARK . RICHMOND,TW10 5HS,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,100,0,519443,173939,,,,,,,,,,,
242,Richmond,957,SOVEREIGN GATE,18/20 KEW ROAD . . RICHMOND,TW9 2NA,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.09,250,0,518145,175275,,,,,,,,,,,
243,Richmond,6530,TANGLEY PARK ROAD 27,27 TANGLEY PARK ROAD . . HAMPTON,TW12 3YH,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,75,0,512846,170939,,,,,,,,,,,
244,Richmond,637,TEDDINGTON POLICE STATION,TEDDINGTON POLICE STATION 18 PARK ROAD . TEDDINGTON,TW11 0AQ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.21,1073,0,515850,170853,,,,,,,,,,,
245,Richmond,638,TWICKENHAM POLICE STATION,TWICKENHAM POLICE STATION 41 LONDON ROAD . TWICKENHAM,TW1 3SY,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.23,2103,0,516191,173423,,,,,,,,,,,
246,Southwark,6701,BELLENDEN ROAD RETAIL PARK,BELLENDEN ROAD RETAIL PARK. UNIT1. PECKHAM,SE15 5DR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,,,534012,176625,,,,,,,,,,,
247,Southwark,6701,BELLENDEN ROAD RETAIL PARK UNIT 1,UNIT 1 BELLENDEN ROAD RETAIL PARK . PECKHAM,SE15 5DR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,149,0,534012,176625,,,,,,,,,,,
248,Southwark,442,CAMBERWELL POLICE STATION,CAMBERWELL POLICE STATION 9 WREN ROAD . .,SE5 8QP,,,POLICE STATION,Yes,Land & buildings ,Subject to disposal process,FH,0.22,593,0,532685,176747,,,,,,,,,,,
249,Southwark,128,DENMARK HILL WIRELESS STATION,DENMARK HILL WIRELESS STATION 113 GROVE PARK . DENMARK HILL,SE5 8LE,,,WIRELESS STN,Yes,Land & buildings ,Operational asset,FH,0.56,1273,0,533337,176178,,,,,,,,,,,
250,Southwark,966,EAST DULWICH ROAD 47B GOOSE GREEN INDUSTRIAL EST,GOOSE GREEN INDUSTRIAL ESTATE UNITS 1 AND 2 PART 47B EAST DULWICH ROAD EAST DULWICH,SE22 9AN,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,534010,175198,,,,,,,,,,,
251,Southwark,602,MALTBY STREET GARAGE,BERMONDSEY GARAGE 20 MALTBY STREET . BERMONDSEY,SE1 3PG,,,GARAGE,Yes,Land & buildings ,Operational asset,LLH,0.15,2485,0,533617,179570,,,,,,,,,,,
252,Southwark,7518,PALESTRA BLACKFRIARS ROAD 197 9TH FLOOR,PALESTRA 9TH FLOOR 197 BLACKFRIARS ROAD SOUTHWARK,SE1 8NJ,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,531674,180093,,,,,,,,,,,
253,Southwark,452,PECKHAM POLICE STATION,PECKHAM POLICE STATION 17 PECKHAM HIGH STREET . PECKHAM,SE15 5SL,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.3,4320,0,534499,176808,,,,,,,,,,,
254,Southwark,6691,SEELEY DRIVE 31,31 SEELEY DRIVE . . .,SE21 8QR,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,73,0,533542,171882,,,,,,,,,,,
255,Southwark,470,SOUTHWARK POLICE STATION,SOUTHWARK POLICE STATION 323 BOROUGH HIGH STREET . SOUTHWARK,SE1 1JL,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.35,5048,0,532249,179543,,,,,,,,,,,
256,Southwark,189,TOWER BRIDGE BUSINESS PARK MANDELA WAY,TOWER BRIDGE BUSINESS PARK UNITS A & B 1 MANDELA WAY .,SE1 5SS,,,LIGHTINDUSTRIAL,Yes,Land & buildings ,Operational asset,LH,,7000,0,533349,178917,,,,,,,,,,,
257,Southwark,445,WALWORTH POLICE STATION,WALWORTH POLICE STATION 12-28 MANOR PLACE . WALWORTH,SE17 3RL,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.3,4099,0,532182,178414,,,,,,,,,,,
258,Sutton,6706,CROSSPOINT HOUSE PART GND & FIRST FLOORS,CROSSPOINT HOUSE 28 STAFFORD ROAD . WALLINGTON,SM6 9AA,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,345,0,529102,163752,,,,,,,,,,,
259,Sutton,6522,OLD PAVILION SUTTON ARENA LEISURE CENTRE (PART OF),OLD PAVILION SUTTON ARENA LEISURE CENTRE MIDDLETON ROAD CARSHALTON,SM5 1SL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,104,0,526654,166529,,,,,,,,,,,
260,Sutton,696,SUTTON POLICE STATION,SUTTON POLICE STATION 6 CARSHALTON ROAD . SUTTON,SM1 4RF,,,POLICE STATION,Yes,Land & buildings ,Operational asset,OTH - PFI,,10675,0,526028,164010,,,,,,,,,,,
261,Sutton,844,WORCESTER PARK POLICE OFFICE,WORCESTER PARK POLICE STATION 154 CENTRAL ROAD . WORCESTER PARK,KT4 8HH,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.02,194,0,522362,165966,,,,,,,,,,,
262,Tower Hamlets,353,BETHNAL GREEN POLICE STATION,BETHNAL GREEN POLICE STATION 12 VICTORIA PARK SQUARE . BETHNAL GREEN,E2 9NZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.31,6088,0,535109,182818,,,,,,,,,,,
263,Tower Hamlets,356,BOW CENTRAL COMMS COMMAND (METCALL CENTRE),BOW METCALL CENTRE 2A WELLINGTON WAY . BOW,E3 4ND,,,CALL CENTRE,Yes,Land & buildings ,Operational asset,FH,0.33,5969,0,537054,182649,,,,,,,,,,,
264,Tower Hamlets,354,BOW POLICE STATION,BOW POLICE STATION & STABLES 111-117 BOW ROAD . BOW,E3 2AN,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.28,2424,0,537195,182828,,,,,,,,,,,
265,Tower Hamlets,4117,BRICK LANE POLICE OFFICE,BRICK LANE POLICE OFFICE 23-25 BRICK LANE . .,E1 6PU,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LH,,156,0,533908,181683,,,,,,,,,,,
266,Tower Hamlets,122,GROVE HALL GARAGE,GROVE HALL GARAGE 201-205 BOW ROAD . .,E3 2SJ,,,GARAGE,Yes,Land & buildings ,Operational asset,FH,0.11,2731,0,537660,182995,,,,,,,,,,,
267,Tower Hamlets,359,ISLE OF DOGS POLICE STATION,ISLE OF DOGS POLICE STATION 160-174 MANCHESTER ROAD . .,E14 3BN,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.2,1654,0,538521,178627,,,,,,,,,,,
268,Tower Hamlets,360,LEMAN STREET,LEMAN STREET 74-78 LEMAN STREET . .,E1 8EU,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.32,4423,0,534015,181090,,,,,,,,,,,
269,Tower Hamlets,362,LIMEHOUSE POLICE STATION & FORMER SECTION HOUSE,LIMEHOUSE POLICE STATION & SECTION HOUSE 27 WEST INDIA DOCK ROAD . LIMEHOUSE,E14 8EZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.41,6582,0,537096,180915,,,,,,,,,,,
270,Tower Hamlets,365,POPLAR POLICE OFFICE,POPLAR POLICE OFFICE 2 MARKET WAY . POPLAR,E14 6AH,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LH,,22,0,537830,181229,,,,,,,,,,,
271,Tower Hamlets,962,SAINSBURY'S CAMBRIDGE HEATH ROAD 1 PART GROUND FLR,SAINSBURY'S SUPERMARKET 1 CAMBRDIGE HEATH ROAD . .,E1 5SD,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,534779,182041,,,,,,,,,,,
272,Tower Hamlets,6527,ST GEORGES TOWN HALL SECOND FLOOR PART,SECOND FLOOR ST GEORGES TOWN HALL 236 CABLE STREET .,E1 0BL,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,91,0,534743,180897,,,,,,,,,,,
273,Tower Hamlets,833,WAPPING BOAT YARD,WAPPING BOAT YARD 82-84 WAPPING HIGH STREET . WAPPING,E1 2NE,,,WORKSHOP,Yes,Land & buildings ,Operational asset,FH,0.3,3250,0,534738,180016,,,,,,,,,,,
274,Tower Hamlets,832,WAPPING POLICE STATION,WAPPING POLICE STATION 98 WAPPING HIGH STREET . WAPPING,E1W 2NE,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.1,2132,0,534841,180025,,,,,,,,,,,
275,Waltham Forest,382,CHINGFORD POLICE STATION,CHINGFORD POLICE STATION KINGS HEAD HILL . CHINGFORD,E4 7EA,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.22,2803,0,538418,194466,,,,,,,,,,,
276,Waltham Forest,6625,FOREST ROAD 357-359,357-359 FOREST ROAD . . WALTHAMSTOW,E17 5QJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,85,0,536740,189736,,,,,,,,,,,
277,Waltham Forest,6718,LEA BRIDGE ROAD 593 GROUND FLOOR,GROUND FLOOR 593 LEA BRIDGE ROAD . .,E10 6AJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,116,0,537835,188211,,,,,,,,,,,
278,Waltham Forest,6727,PARADOX CENTRE 3 CHING WAY PART GROUND FLOOR,PARADOX CENTRE 3 CHING WAY . .,E4 8YJ,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,110,0,536979,191832,,,,,,,,,,,
279,Waltham Forest,914,UPLANDS BUSINESS PARK UNITS 6B & 7,UNITS 6B & 7 UPLANDS BUSINESS PARK BLACKHORSE LANE . WALTHAMSTOW,E17 5QJ,,,PATROLBASE,Yes,Land & buildings ,Operational asset,LH,,3066,0,535807,190166,,,,,,,,,,,
280,Waltham Forest,393,WALTHAM FOREST BOROUGH CUSTODY UNIT,WALTHAM FOREST BOROUGH BASED CUSTODY UNI BOREHAM CLOSE . LEYTONSTONE,E11 1FE,,,CUSTODY CENTRE,Yes,Land & buildings ,Operational asset,FH,0.84,5736,0,538196,190396,,,,,,,,,,,
281,Waltham Forest,455,WALTHAMSTOW TOWN CENTRE OFFICE SNU,WALTHAMSTOW TOWN CENTRE PO 191-193 HIGH STREET . WALTHAMSTOW,E17 7BX,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,156,0,536958,189095,,,,,,,,,,,
282,Wandsworth,686,EARLSFIELD POLICE STATION,EARLSFIELD POLICE STATION 520-522 GARRATT LANE . .,SW17 ONZ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.12,1148,0,526106,172493,,,,,,,,,,,
283,Wandsworth,6535,HOLYBOURNE AVENUE 37,37 HOLYBOURNE AVENUE . . ROEHAMPTON,SW15 4JE,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,86,0,522329,173558,,,,,,,,,,,
284,Wandsworth,127,JUBILEE HOUSE PUTNEY,JUBILEE HOUSE 230-232 PUTNEY BRIDGE ROAD . PUTNEY,SW15 2PD,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,16561,0,524145,175497,,,,,,,,,,,
285,Wandsworth,690,LAVENDER HILL POLICE STATION,LAVENDER HILL POLICE STATION 176 LAVENDER HILL . .,SW11 1JX,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LLH,0.06,923,0,527761,175569,,,,,,,,,,,
286,Wandsworth,450,NINE ELMS POLICE OFFICE,NINE ELMS POLICE OFFICE 147 BATTERSEA PARK ROAD . BATTERSEA,SW8 4BX,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,FH,0.09,531,0,528891,177029,,,,,,,,,,,
287,Wandsworth,454,PONTON ROAD,PONTON ROAD . . NINE ELMS,SW8 5AX,,,WORKSHOP,Yes,Land & buildings ,Subject to disposal process,FH,0.52,2020,0,529632,177340,,,,,,,,,,,
288,Wandsworth,977,ST MARY'S CHURCH CAFE,ST MARY'S CHURCH CAFE PUTNEY HIGH STREET . .,SW15 1SN,,,POLICE OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,524180,175594,,,,,,,,,,,
289,Wandsworth,6559,TILDESLEY ROAD 325,325 TILDESLEY ROAD PUTNEY HEATH . PUTNEY,SW15 3BB,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,77,0,523102,174391,,,,,,,,,,,
290,Wandsworth,670,WANDSWORTH POLICE STATION,WANDSWORTH POLICE STATION 146 WANDSWORTH HIGH STREET . .,SW18 4JJ,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.28,2328,0,525262,174682,,,,,,,,,,,
291,Westminster,215,BELGRAVIA POLICE STATION,BELGRAVIA POLICE STATION 202-206 BUCKINGHAM PALACE ROAD . .,SW1W 9SX,,,POLICE STATION,Yes,Land & buildings ,Operational asset,FH,0.24,6226,0,528559,178585,,,,,,,,,,,
292,Westminster,7519,BUCKINGHAM PALACE ROAD 172 PART 5TH FLOOR,5th FLOOR 172 BUCKINGHAM PALACE ROAD . VICTORIA,SW1W 9TN,,,OFFICE,Yes,Land & buildings ,Operational asset,LH,,,0,528644,178673,,,,,,,,,,,
293,Westminster,271,CHARING CROSS POLICE STATION,CHARING CROSS POLICE STATION AGAR STREET . .,WC2N 4JP,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LLH,0.3,12885,0,530239,180650,,,,,,,,,,,
294,Westminster,166,GREAT SCOTLAND YARD 9-11,GREAT SCOTLAND YARD 9-11 GREAT SCOTLAND YARD . .,SW1A 2HN,,,STABLES,Yes,Land & buildings ,Operational asset,FH,0.05,1401,0,530162,180281,,,,,,,,,,,
295,Westminster,6265,GROSVENOR SQUARE PUBLIC CALL POST,POLICE PUBLIC CALL POST GROSVENOR SQUARE NORTH WEST CORNER .,W1,,,POLICE BOX,Yes,Land & buildings ,Operational asset,LH,,10,0,528766,180826,,,,,,,,,,,
296,Westminster,200,HYDE PARK POLICE STATION PART,HYDE PARK POLICE STATION THE OLD POLICE HOUSE . HYDE PARK,W2 2UH,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LH,,612,0,527407,180410,,,,,,,,,,,
297,Westminster,253,PADDINGTON GREEN POLICE STATION,PADDINGTON GREEN POLICE STATION 4 HARROW ROAD . .,W2 1XJ,,,POLICE STATION,Yes,Land & buildings ,Subject to disposal process,FH,0.5,12502,0,526970,181756,,,,,,,,,,,
298,Westminster,6641,SAINSBURY'S GILLINGHAM ST PART GROUND FLR,SAINSBURY'S SUPERMARKET GILLINGHAM STREET 99 WILTON ROAD VICTORIA,SW1V 1DT,,,SAFER NEIGHBOUR,Yes,Land & buildings ,Operational asset,LH,,120,0,529107,178768,,,,,,,,,,,
299,Westminster,238,WEST END CENTRAL POLICE STATION,WEST END CENTRAL STATION 27 SAVILE ROW . WESTMINSTER,W1S 2EX,,,POLICE STATION,Yes,Land & buildings ,Operational asset,LLH,0.08,5508,0,529081,180818,,,,,,,,,,,
300,Westminster,103,WESTMINSTER (FORMER) HEADQUARTERS,WESTMINSTER (FORMER) HEADQUARTERS VICTORIA EMBANKMENT . .,SW1A 2JL,,,OFFICE,Yes,Land & buildings ,Operational asset,FH,0.23,8691,0,530282,179871,,,,,,,,,,,
301,Westminster,6082,80A CHURCH ST,"LONDON, LONDON, ",NW8 8ET,,,POLICE OFFICE  ,Yes,Land & buildings ,Operational asset,LH,,,0,526997,182077,,,,,,,,,,,
302,Westminster,6083,88 CHURCH ST,"LONDON, LONDON,",NW8 8ET,,,POLICE OFFICE  ,Yes,Land & buildings ,Operational asset,LH,,,0,526997,182077,,,,,,,,,,,
